date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
01-2012	12	1	Adjala-Tosorontio	7	3500800	500114	440000	21	47.9	60	7	95	68	-	7	3500800	500114	440000	21	60	95	68	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
01-2012	12	1	Ajax	113	40775405	360844	349000	199	60.7	211	1.9	98	27	-	76	30697800	403918	388750	129	134	98	26	9	2730000	303333	307000	16	16	99	22	6	1287500	214583	208500	6	8	96	58	4	789900	197475	194950	20	30	94	35	18	5270205	292789	288750	26	21	98	22	22	6060105	275459.3182
01-2012	12	1	Aurora	36	21997791	611050	529000	85	68.7	105	1.9	99	25	-	23	16099691	699987	580000	60	73	100	23	5	1872000	374400	370000	6	3	101	14	3	1877500	625833	770000	4	12	95	47	1	450000	450000	450000	8	11	98	18	4	1698600	424650	421300	7	5	100	30	5	2148600	429720
01-2012	12	1	Bradford West Gwillimbury	42	15361425	365748	351750	41	71.3	58	2.4	97	41	-	28	11385925	406640	382088	31	52	97	46	5	1568000	313600	340000	4	1	98	30	2	439500	219750	219750	2	1	98	25	1	190000	190000	190000	1	1	97	7	1	335000	335000	335000	-	1	99	14	2	525000	262500
01-2012	12	1	Brampton	491	189629214	386210	365500	879	59.4	929	2	98	30	-	264	119739316	453558	432500	499	538	98	29	101	36050098	356932	353500	178	157	98	23	28	6659000	237821	223300	43	59	98	43	43	8844100	205677	198000	70	108	97	50	53	17559100	331304	326000	82	61	98	24	96	26403200	275033.3333
01-2012	12	1	Brock	9	2272400	252489	268500	27	39.3	100	9	95	137	-	8	2041400	255175	268750	26	91	95	118	-	-	-	-	-	1	-	-	1	231000	231000	231000	1	6	93	289	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-
01-2012	12	1	Burlington	34	14437200	424624	372750	66	67.1	97	2.3	97	37	-	15	8349500	556633	440000	43	75	96	50	2	784000	392000	392000	4	2	98	11	6	1654400	275733	267750	8	10	98	31	5	1384500	276900	260000	5	6	97	43	4	1531300	382825	380650	6	2	100	9	9	2915800	323977.7778
01-2012	12	1	Caledon	32	19869900	620934	482250	96	57	180	3.6	93	45	-	27	17991000	666333	570000	79	166	93	47	4	1554000	388500	372500	9	7	97	39	-	-	-	-	1	1	-	-	-	-	-	-	1	-	-	-	1	324900	324900	324900	4	4	100	8	-	-	-
01-2012	12	1	City of Toronto	1705	850871140	499045	396000	4041	59.6	5134	2.2	99	31	-	559	415891886	743993	580000	1100	1144	100	25	157	82676039	526599	465000	276	252	101	19	133	44265965	332827	323000	236	313	98	37	775	266472374	343835	317500	2284	3248	98	38	61	35299076	578673	518000	109	131	99	27	836	301771450	360970.634
01-2012	12	1	City of Toronto Total	1705	850871140	499045	396000	4041	59.6	5134	2.2	99	31	-	559	415891886	743993	580000	1100	1144	100	25	157	82676039	526599	465000	276	252	101	19	133	44265965	332827	323000	236	313	98	37	775	266472374	343835	317500	2284	3248	98	38	61	35299076	578673	518000	109	131	99	27	836	301771450	360970.634
