date	year	month	area	numofsales	dollarVolume	allAveragePrice	allMedianPrice	newListings	SNLRTrend	activeListings	mosInvTrend	avgSPLP	avgLDOM	avgPDOM	detachedNumberofSales	detachedDollarVolume	detachedAveragePrice	detachedMedianPrice	detachedNewListings	detachedActiveListings	detachedAvgSPLP	detachedAvgLDOM	semidetachedNumberofSales	semidetachedDollarVolume	semidetachedAveragePrice	semidetachedMedianPrice	semidetachedNewListings	semidetachedActiveListings	semidetachedAvgSPLP	semidetachedAvgLDOM	attachedNumberofSales	attachedDollarVolume	attachedAveragePrice	attachedMedianPrice	attachedNewListings	attachedActiveListings	attachedAvgSPLP	attachedAvgLDOM	condotownhouseNumberofSales	condotownhouseDollarVolume	condotownhouseAveragePrice	condotownhouseMedianPrice	condotownhouseNewListings	condotownhouseActiveListings	condotownhouseAvgSPLP	condotownhouseAvgLDOM	condoapartmentNumberofSales	condoapartmentDollarVolume	condoapartmentAveragePrice	condoapartmentMedianPrice	condoapartmentNewListings	condoapartmentActiveListings	condoapartmentAvgSPLP	condoapartmentAvgLDOM	allcondoNumberofSales	allcondoDollarVolume	allcondoAveragePrice
07-2013	13	07	Pickering	127	55023100	433253	397000	192	62.2	213	1.9	98	25	-	73	37498450	513677	460000	128	154	98	24	10	3553400	355340	348000	5	5	98	18	16	4150300	259394	246250	23	21	99	32	13	3533000	271769	258000	14	18	98	32	12	5128950	427413	380500	18	12	99	15	25	8661950	346478
07-2013	13	07	Richmond Hill	346	239349000	691760	624900	542	46.2	838	3.1	97	25	-	198	171368140	865496	776250	318	526	97	23	17	9466880	556875	568000	21	27	99	20	12	5148600	429050	421500	27	36	98	20	47	14647200	311643	304500	99	166	96	41	67	35944180	536480	538800	70	75	99	21	114	50591380	443784.035087719
07-2013	13	07	Scugog	38	13235500	348303	320050	54	55.8	111	4	97	50	-	36	12763000	354528	328800	53	111	97	52	2	472500	236250	236250	1	-	98	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
07-2013	13	07	Simcoe County	246	90532837	368020	340450	316	57.1	674	3.8	97	46	-	197	77242637	392095	365000	266	582	97	48	7	2258000	322571	289000	5	9	97	37	6	1375500	229250	230000	4	7	98	45	4	869000	217250	226000	3	12	97	41	17	4289900	252347	250000	23	22	98	17	21	5158900	245661.904761905
07-2013	13	07	Toronto C01	351	155629442	443389	395000	809	40.2	1376	4.2	98	30	-	4	2585000	646250	662500	7	15	106	11	18	12661894	703439	700175	24	21	101	16	20	9821059	491053	447000	37	42	99	17	298	123380989	414030	375000	719	1274	98	32	11	7180500	652773	650500	18	18	101	13	309	130561489	422529.090614887
07-2013	13	07	Toronto C02	68	70881614	1042377	700500	137	41.5	262	4.4	96	30	-	12	21761500	1813458	2065000	16	28	95	38	13	13180250	1013865	902000	20	18	102	9	1	399000	399000	399000	4	10	100	3	35	30239364	863982	524600	88	191	93	38	3	4111000	1370333	1150000	5	10	98	20	38	34350364	903956.947368421
07-2013	13	07	Toronto C03	50	55902839	1118057	763500	69	54.2	97	2.5	98	27	-	30	41681139	1389371	810000	44	68	97	23	11	8036800	730618	780000	11	8	105	18	2	3049900	1524950	1524950	1	1	97	39	7	3135000	447857	460000	7	12	98	57	-	-	-	-	4	4	-	-	-	-	-
07-2013	13	07	Toronto C04	67	71103805	1061251	883500	117	49.9	190	2.8	98	27	-	41	59620165	1454150	1250000	82	137	98	26	1	785000	785000	785000	2	2	103	5	-	-	-	-	1	5	-	-	23	9576640	416376	330000	27	31	98	28	1	800000	800000	800000	3	10	94	95	24	10376640	432360
07-2013	13	07	Toronto C06	27	15945518	590575	610000	62	44.2	105	3.6	97	37	-	14	11579018	827073	721500	26	42	97	27	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	-	13	4366500	335885	340000	35	57	97	47	-	-	-	-	1	2	-	-	-	-	-
07-2013	13	07	Toronto C07	112	61851288	552244	403500	216	43.4	328	3.7	98	29	-	32	32479988	1015000	899500	67	118	98	29	8	4413000	551625	555000	5	2	99	17	6	2556000	426000	394500	9	8	99	24	65	21757300	334728	320000	134	196	98	30	1	645000	645000	645000	-	-	99	49	66	22402300	339428.787878788
07-2013	13	07	Toronto C08	145	61721314	425664	369900	265	47.9	433	3.1	98	30	-	1	660000	660000	660000	1	2	94	12	5	5178000	1035600	950000	3	5	98	28	5	2697000	539400	485000	11	16	99	13	130	50033564	384874	363500	246	402	98	31	3	2838750	946250	1023750	2	6	94	32	133	52872314	397536.195488722
07-2013	13	07	Toronto C09	25	22991700	919668	729000	38	52.8	70	3.1	98	22	-	7	10200000	1457143	1250000	16	32	99	21	1	1250000	1250000	1250000	2	3	96	10	2	2729000	1364500	1364500	-	1	90	32	10	6166500	616650	512500	16	22	99	21	-	-	-	-	1	3	-	-	-	-	-
07-2013	13	07	Toronto C10	59	34490300	584581	488000	76	55.6	102	2.2	99	21	-	11	10964600	996782	995000	17	18	98	16	9	6311700	701300	692000	11	7	103	11	4	2019500	504875	428250	2	5	98	22	34	14880500	437662	430500	45	69	98	25	-	-	-	-	1	1	-	-	-	-	-
07-2013	13	07	Toronto C11	40	21727900	543198	302000	53	58.9	65	2.3	98	24	-	7	10365500	1480786	1489000	6	11	98	32	8	5681500	710188	709500	8	1	101	10	2	600000	300000	300000	-	-	97	52	23	5080900	220909	208000	37	52	97	24	-	-	-	-	2	1	-	-	-	-	-
07-2013	13	07	Toronto C12	37	60466216	1634222	1380000	73	36.7	174	5.6	96	32	-	21	48117500	2291310	1900000	48	127	96	33	1	570000	570000	570000	1	-	97	6	7	5470700	781529	659000	7	11	100	38	8	6308016	788502	387500	17	35	93	26	-	-	-	-	-	1	-	-	-	-	-
07-2013	13	07	Toronto C13	83	56870165	685183	461000	108	59.3	127	2.2	100	25	-	32	39319488	1228734	957500	30	34	100	20	7	3454700	493529	480000	4	1	102	11	3	1305000	435000	440000	4	3	102	23	40	12519977	312999	294000	67	87	98	33	-	-	-	-	2	2	-	-	-	-	-
07-2013	13	07	Toronto C14	161	85277525	529674	386000	373	41.2	610	3.8	97	36	-	22	29187300	1326695	1203750	86	144	95	30	-	-	-	-	-	-	-	-	13	6950888	534684	635000	21	23	97	31	122	45709337	374667	360500	262	435	98	38	4	3430000	857500	861500	4	6	99	14	126	49139337	389994.738095238
07-2013	13	07	Toronto C15	134	69731276	520383	438000	249	47.3	348	3.2	98	29	-	24	21439000	893292	877500	42	59	98	22	20	11484300	574215	578250	23	16	100	17	25	11368700	454748	404000	45	45	99	23	64	24829276	387957	342500	138	228	98	37	-	-	-	-	-	-	-	-	-	-	-
07-2013	13	07	Toronto Central	1359	844590902	621480	425000	2645	45.1	4287	3.5	98	29	-	258	339960198	1317675	1013500	488	835	97	26	102	73007144	715756	646400	114	84	101	15	90	48966747	544075	432500	142	174	98	24	872	357983863	410532	364900	1838	3091	97	33	23	19005250	826315	721000	43	64	99	22	895	376989113	421216.88603352
07-2013	13	07	Toronto E01	81	45601298	562979	552000	119	56.7	119	1.7	102	19	-	13	8538144	656780	591450	25	22	101	13	41	24929764	608043	581000	47	27	104	17	3	1148400	382800	380000	9	12	99	30	20	8639290	431965	405200	25	47	99	30	4	2345700	586425	569850	13	11	105	7	24	10984990	457707.916666667
07-2013	13	07	Toronto E02	75	51165184	682202	595000	89	59.3	91	1.5	100	15	-	26	24461106	940812	850500	36	32	99	15	30	17211374	573712	587000	33	25	102	16	4	2125188	531297	509650	5	6	100	8	9	3833900	425989	403000	7	22	99	14	6	3533616	588936	574680	8	5	101	16	15	7367516	491167.733333333
07-2013	13	07	Toronto E03	83	42618414	513475	540000	139	60.8	113	1.5	101	17	-	46	27658844	601279	591500	99	76	102	13	19	9716680	511404	502000	20	13	103	13	2	591500	295750	295750	3	4	96	50	13	2521400	193954	148000	15	16	98	26	3	2129990	709997	725000	2	4	98	50	16	4651390	290711.875
07-2013	13	07	Toronto E04	122	46256146	379149	416950	166	57.5	206	2.3	99	25	-	58	27292564	470561	465000	73	73	100	17	7	3190700	455814	443500	10	9	100	15	14	4991382	356527	348091	11	14	99	23	34	6870700	202079	192500	64	102	97	35	8	3812800	476600	483500	5	5	99	42	42	10683500	254369.047619048
07-2013	13	07	Toronto E05	96	39530888	411780	368000	131	61.7	142	1.9	99	25	-	30	18460800	615360	616500	43	46	99	22	4	1981500	495375	484250	8	5	103	9	16	5641700	352606	348450	17	18	99	21	39	10069500	258192	245000	57	70	97	33	4	1778888	444722	449500	4	2	100	10	43	11848388	275543.906976744
07-2013	13	07	Toronto E06	36	19346913	537414	458000	63	55.7	65	1.8	97	18	-	31	17108900	551900	463000	55	55	97	16	1	529500	529500	529500	4	3	98	48	-	-	-	-	-	-	-	-	4	1708513	427128	432000	3	5	98	23	-	-	-	-	1	2	-	-	-	-	-
07-2013	13	07	Toronto E07	104	43894188	422060	419000	163	53.1	201	2.7	100	19	-	39	23268500	596628	586000	54	44	101	14	8	3513688	439211	439400	10	7	101	14	11	3983400	362127	367000	18	18	98	19	36	8677800	241050	237000	71	125	98	26	4	1711000	427750	418000	5	3	97	28	40	10388800	259720
07-2013	13	07	Toronto E08	67	27471301	410019	422900	118	52.3	135	2.7	99	20	-	35	20365001	581857	505000	66	70	99	15	2	802000	401000	401000	5	3	100	5	4	985000	246250	225000	4	8	98	29	23	4064400	176713	172000	34	47	97	25	3	1254900	418300	422900	6	5	97	31	26	5319300	204588.461538462
07-2013	13	07	Toronto E09	115	38892076	338192	315888	220	57.5	252	2.4	98	27	-	52	23436300	450698	448350	85	68	99	19	3	1105500	368500	373000	4	2	102	14	6	1253700	208950	226500	13	16	97	61	54	13096576	242529	240500	117	162	97	32	-	-	-	-	1	3	-	-	-	-	-
07-2013	13	07	Toronto E10	72	33781703	469190	461500	105	53.8	142	2.6	98	31	-	45	24900200	553338	515000	72	91	97	32	3	1088400	362800	347900	9	8	98	11	7	1691503	241643	262500	9	17	100	16	4	593700	148425	158850	9	18	96	35	12	5412900	451075	453500	4	5	99	41	16	6006600	375412.5
07-2013	13	07	Toronto E11	79	26722987	338266	329900	143	60.2	167	2.3	99	29	-	27	13368588	495133	475000	53	50	99	21	5	1974499	394900	393500	10	11	100	26	19	4648400	244653	218000	22	31	97	31	17	2724400	160259	160000	40	64	96	45	8	2767100	345888	307550	13	8	100	19	25	5491500	219660
07-2013	13	07	Toronto East	930	415281098	446539	443000	1456	57.4	1633	2.1	99	23	-	402	228858947	569301	523000	661	627	99	18	123	66043605	536940	515000	160	113	102	16	86	27060173	314653	329900	111	144	98	26	253	62800179	248222	230000	442	678	98	31	52	24746894	475902	459000	62	53	100	29	305	87547073	287039.583606557
07-2013	13	07	Toronto W01	41	27033600	659356	525000	73	55.8	96	2.5	100	20	-	12	13534100	1127842	1055000	16	22	100	11	6	4477000	746167	706000	4	1	106	24	4	1623000	405750	377500	3	4	97	24	19	7399500	389447	365000	50	69	99	23	-	-	-	-	-	-	-	-	-	-	-
07-2013	13	07	Toronto W02	68	42253439	621374	618050	88	67	96	1.4	103	17	-	24	19302291	804262	770000	30	31	102	19	23	14084498	612369	620000	25	14	104	10	5	2093150	418630	399900	6	5	101	26	14	5763500	411679	449000	20	41	101	24	2	1010000	505000	505000	7	5	108	10	16	6773500	423343.75
07-2013	13	07	Toronto W03	81	37112319	458177	450000	105	61.3	88	1.9	100	21	-	38	18179700	478413	450000	51	45	101	23	30	15075619	502521	498000	31	21	100	20	1	345000	345000	345000	6	8	102	14	9	2288000	254222	242000	11	8	99	19	3	1224000	408000	359000	6	6	97	20	12	3512000	292666.666666667
07-2013	13	07	Toronto W04	89	37296875	419066	410000	121	56.5	167	2.7	98	32	-	39	21042675	539556	525000	51	67	98	24	14	6751000	482214	443250	11	7	100	30	13	3813500	293346	279000	17	18	98	36	18	3647200	202622	191000	37	70	96	46	5	2042500	408500	402000	5	5	97	36	23	5689700	247378.260869565
07-2013	13	07	Toronto W05	104	39455899	379384	399500	164	54.8	303	3.1	97	28	-	24	13895200	578967	552500	43	75	97	38	32	14437699	451178	431000	45	66	97	21	24	6211000	258792	255800	16	34	97	29	22	4424500	201114	181000	52	118	97	27	1	389000	389000	389000	6	8	100	43	23	4813500	209282.608695652
07-2013	13	07	Toronto W06	121	57362131	474067	458500	225	37.6	432	4.7	98	34	-	40	22408282	560207	558450	51	53	100	24	3	1423999	474666	502999	2	6	100	35	10	5084250	508425	454250	9	10	98	36	56	21528100	384430	333500	153	350	97	43	10	6641500	664150	592500	9	11	98	22	66	28169600	426812.121212121
07-2013	13	07	Toronto W07	23	16674500	724978	670000	43	64.9	51	1.4	100	20	-	15	11643000	776200	710000	30	30	101	10	-	-	-	-	-	1	-	-	2	906500	453250	453250	-	-	98	67	3	2036000	678667	615000	6	11	96	34	3	2089000	696333	730000	7	8	99	21	6	4125000	687500
07-2013	13	07	Toronto W08	129	81013928	628015	579900	218	51.9	353	2.9	98	27	-	72	61896538	859674	716250	84	134	98	25	1	475000	475000	475000	-	-	101	29	5	1714100	342820	355000	8	18	98	38	49	15588290	318128	298000	124	197	99	31	2	1340000	670000	670000	2	4	99	30	51	16928290	331927.254901961
07-2013	13	07	Toronto W09	37	16735025	452298	510500	60	56.2	104	2.8	96	35	-	20	13024125	651206	600000	27	36	97	33	3	1820000	606667	700000	4	1	96	7	-	-	-	-	4	4	-	-	13	1830900	140838	135500	24	61	95	47	-	-	-	-	1	1	-	-	-	-	-
07-2013	13	07	Toronto W10	80	26976801	337210	396250	152	51	239	3	98	26	-	42	18983601	451991	431000	67	76	98	25	3	1134000	378000	386000	7	6	99	25	9	1978000	219778	246500	14	17	98	25	25	4454200	178168	174000	59	136	97	26	1	427000	427000	427000	2	2	98	42	26	4881200	187738.461538462
07-2013	13	07	Toronto West	773	381914517	494068	449900	1249	52.6	1929	2.8	99	27	-	326	213909512	656164	590000	450	569	99	24	115	59678815	518946	479000	129	123	101	20	73	23768500	325596	298500	83	118	98	32	228	68960190	302457	272250	536	1061	98	33	27	15163000	561593	517000	45	50	98	26	255	84123190	329894.862745098
07-2013	13	07	TRREB Total	8544	4385175836	513246	440000	14132	52.1	20514	2.8	98	27	-	4129	2660368846	644313	559000	6788	10008	98	27	957	455660677	476134	448500	1207	1108	100	20	708	249407946	352271	329650	1015	1293	98	29	1894	641789232	338854	310000	3962	6903	97	34	676	301287571	445692	425000	940	967	99	22	2570	943076803	366955.954474708
07-2013	13	07	Uxbridge	29	15061400	519359	478000	50	54.2	146	4.3	96	35	-	22	12964000	589273	560000	43	132	96	34	-	-	-	-	-	-	-	-	2	605000	302500	302500	-	4	97	37	3	823400	274467	262500	1	5	96	53	1	327000	327000	327000	4	4	96	23	4	1150400	287600
07-2013	13	07	Vaughan	346	229047245	661986	621500	657	46.8	1007	3.1	97	27	-	202	163060750	807231	724000	368	566	97	28	41	21283988	519122	515000	55	59	99	24	10	4575500	457550	450250	20	42	97	25	49	16704007	340898	325000	113	236	96	35	34	17644200	518947	518250	90	96	99	18	83	34348207	413833.819277108
07-2013	13	07	Whitby	209	80322075	384316	360000	265	65.5	270	1.5	98	24	-	144	61572849	427589	396750	194	210	98	25	3	916000	305333	290000	5	4	99	10	10	2406800	240680	242450	12	11	98	25	11	2761276	251025	234000	14	16	97	39	32	9776150	305505	303000	32	25	99	19	43	12537426	291568.046511628
07-2013	13	07	Whitchurch-Stouffville	81	48457580	598242	520000	131	47.9	245	3.7	97	37	-	53	37049780	699052	600000	96	210	96	44	9	3725900	413989	430000	6	6	98	24	1	249000	249000	249000	-	-	98	23	2	807400	403700	403700	6	15	100	41	15	6205500	413700	411000	23	14	99	21	17	7012900	412523.529411765
07-2013	13	07	York Region	1629	1017765843	624780	570000	2652	50.2	3976	2.9	98	27	-	967	721612853	746239	693888	1589	2496	97	27	139	67234906	483704	492000	162	159	99	24	74	30255900	408864	369900	141	210	98	28	165	54016495	327373	309000	369	735	97	39	216	107211525	496350	490000	309	311	99	21	381	161228020	423170.656167979
